RegionID,SizeRank,ZipCode,State,City,Metro,CountyName,Price
86692,15980,65074,MO,Russellville,"Jefferson City, MO",Moniteau County,207663.8587
68548,15983,25301,WV,Charleston,"Charleston, WV",Kanawha County,167602.6008
100140,15983,99169,WA,Ritzville,"Othello, WA",Adams County,184033.3167
80147,15983,50115,IA,Guthrie Center,"Des Moines-West Des Moines, IA",Guthrie County,120228.3978
64812,15987,16925,PA,Gillett,"Sayre, PA",Bradford County,169178.0054
98633,15987,96114,CA,Janesville,"Susanville, CA",Lassen County,229820.3832
93695,15987,81125,CO,Center,,Rio Grande County,113012.6404
99062,15987,97064,OR,Vernonia,"Portland-Vancouver-Hillsboro, OR-WA",Columbia County,291304.5881
63159,15987,13495,NY,Yorkville,"Utica-Rome, NY",Oneida County,158864.7658
63101,15995,13411,NY,New Berlin,"Oneonta, NY",Otsego County,124766.2445
98899,15995,96763,HI,Lanai City,"Kahului-Wailuku-Lahaina, HI",Maui County,645047.8994
77989,15997,46147,IN,Jamestown,"Indianapolis-Carmel-Anderson, IN",Boone County,210676.7679
93496,15997,80644,CO,Kersey,"Greeley, CO",Weld County,456088.8778
90506,15997,74733,OK,Colbert,"Durant, OK",Bryan County,124196.112
58211,16000,1022,MA,Chicopee,"Springfield, MA",Hampden County,221608.7597
58827,16003,2635,MA,Barnstable,"Barnstable Town, MA",Barnstable County,598279.6229
62431,16005,12154,NY,Schaghticoke,"Albany-Schenectady-Troy, NY",Rensselaer County,258778.11
77843,16005,45832,OH,Convoy,"Van Wert, OH",Van Wert County,131996.9998
93795,16009,81432,CO,Ridgway,"Montrose, CO",Ouray County,738297.5858
59387,16009,4217,ME,Bethel,,Oxford County,335331.1764
69877,16016,28349,NC,Kenansville,,Duplin County,130696.7663
66614,16021,20764,MD,Shady Side,"Baltimore-Columbia-Towson, MD",Anne Arundel County,326561.2073
78470,16025,47161,IN,Palmyra,"Louisville/Jefferson County, KY-IN",Harrison County,188091.7109
78573,16032,47383,IN,Selma,"Muncie, IN",Delaware County,136258.2164
64171,16032,15557,PA,Rockwood,"Somerset, PA",Somerset County,152226.4853
67980,16037,24092,VA,Gladehill,"Roanoke, VA",Franklin County,209018.9357
67565,16040,23149,VA,Saluda,,Middlesex County,231894.2813
70134,16041,28684,NC,Todd,"Boone, NC",Watauga County,462706.9448
68858,16044,26033,WV,Cameron,"Wheeling, WV-OH",Marshall County,78701.61639
77293,16046,44688,OH,Waynesburg,"Canton-Massillon, OH",Stark County,132706.1541
58876,16047,2725,MA,Somerset,"Providence-Warwick, RI-MA",Bristol County,398295.1112
